Source,Target,Type,Id,Label,timeset,Weight,END1,TIE-MODE,END2,LABEL-COLOR,THICKNESS,SHAPE,BREED,COLOR,HIDDEN?
urban 3563,urban 5294,Undirected,11166,,,1,(urban 3563),none,(urban 5294),9.9,0,default,urbanangrycollectives,0,true
urban 2903,urban 5404,Undirected,11167,,,1,(urban 2903),none,(urban 5404),9.9,0,default,urbanangrycollectives,0,true
urban 3792,urban 5736,Undirected,11168,,,1,(urban 3792),none,(urban 5736),9.9,0,default,urbanangrycollectives,0,true
urban 3682,urban 5871,Undirected,11169,,,1,(urban 3682),none,(urban 5871),9.9,0,default,urbanangrycollectives,0,true
urban 1685,urban 5998,Undirected,11170,,,1,(urban 1685),none,(urban 5998),9.9,0,default,urbanangrycollectives,0,true
urban 3618,urban 5329,Undirected,11171,,,1,(urban 3618),none,(urban 5329),9.9,0,default,urbanangrycollectives,0,true
urban 5419,urban 5570,Undirected,11172,,,1,(urban 5419),none,(urban 5570),9.9,0,default,urbanangrycollectives,0,true
urban 1358,urban 2855,Undirected,11173,,,1,(urban 1358),none,(urban 2855),9.9,0,default,urbanangrycollectives,0,true
urban 2445,urban 5851,Undirected,11174,,,1,(urban 2445),none,(urban 5851),9.9,0,default,urbanangrycollectives,0,true
urban 1126,urban 5370,Undirected,11175,,,1,(urban 1126),none,(urban 5370),9.9,0,default,urbanangrycollectives,0,true
urban 139,urban 2446,Undirected,11176,,,1,(urban 139),none,(urban 2446),9.9,0,default,urbanangrycollectives,0,true
urban 1284,urban 5746,Undirected,11177,,,1,(urban 1284),none,(urban 5746),9.9,0,default,urbanangrycollectives,0,true
urban 1031,urban 5064,Undirected,11178,,,1,(urban 1031),none,(urban 5064),9.9,0,default,urbanangrycollectives,0,true
urban 984,urban 3280,Undirected,11179,,,1,(urban 984),none,(urban 3280),9.9,0,default,urbanangrycollectives,0,true
urban 895,urban 2978,Undirected,11180,,,1,(urban 895),none,(urban 2978),9.9,0,default,urbanangrycollectives,0,true
urban 1308,urban 6129,Undirected,11181,,,1,(urban 1308),none,(urban 6129),9.9,0,default,urbanangrycollectives,0,true
urban 134,urban 3028,Undirected,11182,,,1,(urban 134),none,(urban 3028),9.9,0,default,urbanangrycollectives,0,true
urban 1850,urban 2801,Undirected,11183,,,1,(urban 1850),none,(urban 2801),9.9,0,default,urbanangrycollectives,0,true
urban 652,urban 1830,Undirected,11184,,,1,(urban 652),none,(urban 1830),9.9,0,default,urbanangrycollectives,0,true
urban 3249,urban 5035,Undirected,11185,,,1,(urban 3249),none,(urban 5035),9.9,0,default,urbanangrycollectives,0,true
urban 972,urban 1790,Undirected,11186,,,1,(urban 972),none,(urban 1790),9.9,0,default,urbanangrycollectives,0,true
urban 1300,urban 3290,Undirected,11187,,,1,(urban 1300),none,(urban 3290),9.9,0,default,urbanangrycollectives,0,true
urban 1381,urban 5901,Undirected,11188,,,1,(urban 1381),none,(urban 5901),9.9,0,default,urbanangrycollectives,0,true
urban 2156,urban 2650,Undirected,11189,,,1,(urban 2156),none,(urban 2650),9.9,0,default,urbanangrycollectives,0,true
urban 2426,urban 3919,Undirected,11190,,,1,(urban 2426),none,(urban 3919),9.9,0,default,urbanangrycollectives,0,true
urban 1935,urban 6043,Undirected,11191,,,1,(urban 1935),none,(urban 6043),9.9,0,default,urbanangrycollectives,0,true
urban 5286,urban 5939,Undirected,11192,,,1,(urban 5286),none,(urban 5939),9.9,0,default,urbanangrycollectives,0,true
urban 1256,urban 5217,Undirected,11193,,,1,(urban 1256),none,(urban 5217),9.9,0,default,urbanangrycollectives,0,true
urban 3304,urban 5482,Undirected,11194,,,1,(urban 3304),none,(urban 5482),9.9,0,default,urbanangrycollectives,0,true
urban 1641,urban 5512,Undirected,11195,,,1,(urban 1641),none,(urban 5512),9.9,0,default,urbanangrycollectives,0,true
urban 525,urban 3472,Undirected,11196,,,1,(urban 525),none,(urban 3472),9.9,0,default,urbanangrycollectives,0,true
